Nanometer,Radiance(mW/m2/nm)
934.41,843.95
934.49,843.68
934.58,842.42
934.67,840.43
934.75,838.59
934.84,836.57
934.93,834.74
935.02,834.01
935.1,833.98
935.19,833.86
935.28,833.85
935.37,833.63
935.45,832.7
935.54,830.85
935.63,829.42
935.72,829.07
935.8,828.28
935.89,827.71
935.98,828.34
936.07,828.51
936.15,827.81
936.24,828.06
936.33,829.07
936.42,829.59
936.51,830.17
936.59,831.43
936.68,832.81
936.77,833.85
936.86,835.02
936.94,835.94
937.03,836.05
937.12,835.68
937.21,835.58
937.29,835.52
937.38,835.39
937.47,835.56
937.56,835.64
937.65,835.22
937.73,834.76
937.82,834.17
937.91,833.74
938.0,833.89
938.09,834.61
938.17,835.59
938.26,836.55
938.35,836.52
938.44,835.66
938.53,834.43
938.61,832.87
938.7,831.75
938.79,831.22
938.88,830.54
938.97,829.82
939.05,829.36
939.14,828.7
939.23,827.88
939.32,827.37
939.41,827.45
939.5,827.86
939.59,828.19
939.67,828.11
939.76,827.59
939.85,827.01
939.94,826.41
940.03,825.59
940.11,823.73
940.2,821.24
940.29,818.57
940.38,815.53
940.47,812.78
940.56,810.89
940.65,809.39
940.73,808.36
940.82,807.75
940.91,804.69
941.0,798.52
941.09,791.61
941.18,785.22
941.27,780.25
941.35,778.08
941.44,779.63
941.53,782.86
941.62,785.15
941.71,785.57
941.8,785.29
941.89,784.68
941.97,785.89
942.06,789.76
942.15,796.18
942.24,804.26
942.33,812.84
942.42,819.88
942.51,823.95
942.6,824.96
942.68,824.51
942.77,823.92
942.86,822.6
942.95,821.0
943.04,820.07
943.13,819.37
943.22,818.53
943.31,817.1
943.4,814.45
943.48,810.52
943.57,807.03
943.66,804.02
943.75,802.01
943.84,802.11
943.93,803.7
944.02,804.35
944.11,804.81
944.2,804.97
944.29,803.74
944.38,802.29
944.47,802.93
944.55,804.45
944.64,806.6
944.73,809.5
944.82,811.88
944.91,812.18
945.0,811.69
945.09,811.01
945.18,810.51
945.27,810.54
945.36,811.86
945.45,813.28
945.54,814.71
945.63,816.34
945.72,817.77
945.8,817.98
945.9,817.08
945.98,815.46
946.07,814.24
946.16,813.71
946.25,813.6
946.34,814.41
946.43,815.81
946.52,816.4
946.61,816.17
946.7,815.8
946.79,815.02
946.88,814.49
946.97,814.72
947.06,815.46
947.15,816.44
947.24,817.75
947.33,818.79
947.42,818.99
947.51,818.67
947.6,818.45
947.69,818.32
947.78,818.07
947.87,818.0
947.96,818.12
948.05,818.19
948.14,818.1
948.23,817.88
948.32,817.69
948.41,817.45
948.5,817.05
948.59,816.92
948.68,817.08
948.77,817.45
948.86,818.07
948.95,818.38
949.04,817.97
949.13,817.24
949.22,816.66
949.31,816.1
949.4,815.78
949.49,816.26
949.58,817.17
949.67,817.47
949.76,817.17
949.85,816.41
949.94,815.25
950.03,813.45
950.12,811.6
950.21,810.52
950.3,809.88
950.39,809.28
950.48,809.17
950.57,808.99
950.66,807.96
950.75,806.91
950.84,806.12
950.93,805.15
951.02,804.54
951.11,805.13
951.2,806.2
951.29,807.1
951.38,808.08
951.47,808.89
951.57,808.65
951.66,807.72
951.75,807.32
951.84,807.16
951.93,807.48
952.02,808.44
952.11,809.56
952.2,809.74
952.29,809.38
952.38,808.57
952.47,807.39
952.56,805.43
952.65,804.45
952.74,804.35
952.84,804.35
952.92,804.34
953.02,804.69
953.11,803.5
953.2,801.5
953.29,799.45
953.38,797.86
953.47,796.48
953.56,796.32
953.65,796.75
953.74,797.09
953.83,796.59
953.92,795.36
954.02,792.0
954.11,786.84
954.2,779.83
954.29,772.71
954.38,766.3
954.47,761.16
954.56,757.41
954.65,755.35
954.74,753.6
954.84,751.96
954.93,750.71
955.02,750.27
955.11,750.95
955.2,753.74
955.29,758.57
955.38,765.06
955.47,772.21
955.57,779.15
955.66,784.49
955.75,788.18
955.84,790.76
955.93,792.5
956.02,793.85
956.11,795.09
956.21,796.16
956.3,797.28
956.39,798.27
956.48,798.37
956.57,797.23
956.66,795.55
956.76,793.71
956.85,791.7
956.94,790.18
957.03,789.2
957.12,788.89
957.21,788.35
957.3,787.78
957.4,787.18
957.49,786.82
957.58,786.97
957.67,788.09
957.76,789.56
957.85,791.61
957.95,793.82
958.04,795.85
958.13,797.38
958.22,798.46
958.31,799.3
958.41,799.92
958.5,800.1
958.59,799.95
958.68,799.75
958.77,799.59
958.86,799.73
958.96,799.59
959.05,799.46
959.14,799.15
959.23,798.68
959.33,798.06
959.42,797.76
959.51,797.11
959.6,796.15
959.69,795.45
959.78,794.66
959.88,792.99
959.97,791.27
960.06,789.84
960.15,787.87
960.25,785.81
960.34,784.28
960.43,783.09
960.52,782.05
960.61,782.1
960.71,782.86
960.8,783.81
960.89,785.03
960.98,786.94
961.08,788.44
961.17,789.71
961.26,791.24
961.35,792.79
961.45,794.12
961.54,795.3
961.63,795.69
961.72,794.45
961.82,793.12
961.91,791.31
962.0,788.89
962.09,786.85
962.19,785.56
962.28,782.61
962.37,780.45
962.46,778.92
962.56,777.69
962.65,776.79
962.74,778.58
962.84,780.17
962.93,780.85
963.02,780.65
963.11,781.22
963.21,780.18
963.3,779.7
963.39,779.54
963.48,779.78
963.58,779.84
963.67,780.06
963.76,779.19
963.85,778.45
963.95,777.86
964.04,778.29
964.13,779.03
964.23,779.37
964.32,779.27
964.41,780.09
964.51,780.71
964.6,781.16
964.69,782.27
964.78,783.76
964.88,783.76
964.97,782.37
965.07,781.1
965.16,779.49
965.25,777.71
965.34,776.03
965.44,773.47
965.53,770.71
965.62,768.69
965.72,767.04
965.81,765.74
965.9,766.16
966.0,767.33
966.09,767.95
966.18,768.53
966.28,769.44
966.37,770.05
966.46,771.68
966.56,774.22
966.65,776.46
966.74,779.0
966.84,781.58
966.93,782.16
967.02,781.32
967.12,779.73
967.21,777.89
967.3,776.03
967.4,774.53
967.49,773.35
967.59,772.95
967.68,773.06
967.77,773.2
967.87,773.28
967.96,773.51
968.05,773.72
968.15,774.28
968.24,775.57
968.34,777.1
968.43,778.14
968.52,778.45
968.62,778.32
968.71,777.39
968.8,776.32
968.9,775.58
968.99,775.6
969.09,775.52
969.18,775.32
969.27,774.97
969.37,774.68
969.46,774.44
969.56,775.1
969.65,776.16
969.74,777.0
969.84,777.48
969.93,778.19
970.03,778.14
970.12,777.1
970.21,775.28
970.31,774.14
970.4,773.09
970.5,771.56
970.59,770.73
970.68,770.65
970.78,770.14
970.87,770.22
970.97,770.69
971.06,770.56
971.16,770.39
971.25,771.34
971.34,772.25
971.44,772.91
971.53,774.01
971.63,775.48
971.72,775.92
971.82,775.85
971.91,775.58
972.01,775.27
972.1,775.03
972.2,774.9
972.29,774.7
972.38,774.13
972.48,773.05
972.57,772.2
972.67,771.23
972.76,770.33
972.86,769.95
972.95,770.29
973.05,769.66
973.14,769.18
973.24,768.3
973.33,766.49
973.43,762.86
973.52,760.88
973.61,759.13
973.71,758.09
973.8,758.02
973.9,759.31
973.99,758.23
974.09,757.79
974.18,756.94
974.28,755.1
974.37,752.78
974.47,753.85
974.56,754.96
974.66,756.52
974.75,759.19
974.85,762.62
974.94,763.45
975.04,764.23
975.13,764.88
975.23,764.98
975.32,765.5
975.42,767.22
975.52,768.2
975.61,768.9
975.71,770.13
975.8,770.71
975.9,769.2
975.99,766.32
976.09,763.88
976.18,761.29
976.28,759.24
976.37,758.33
976.47,758.18
976.56,757.6
976.66,756.72
976.75,755.59
976.85,754.23
976.94,753.63
977.04,754.61
977.14,756.56
977.23,758.92
977.33,761.54
977.42,763.65
977.52,764.61
977.61,764.76
977.71,764.79
977.8,765.16
977.9,765.05
977.99,764.12
978.09,763.31
978.19,762.14
978.28,759.53
978.38,756.48
978.47,753.89
978.57,751.43
978.66,749.16
978.76,748.32
978.86,748.32
978.95,748.77
979.05,749.73
979.14,751.02
979.24,751.6
979.34,752.47
979.43,754.1
979.53,755.63
979.62,755.62
979.72,756.42
979.82,757.21
979.91,756.91
980.01,756.06
980.1,756.44
980.2,756.28
980.3,756.21
980.39,756.09
980.49,756.1
980.58,755.42
980.68,756.19
980.78,757.07
980.87,758.2
980.97,759.22
981.07,760.96
981.16,761.14
981.26,761.25
981.35,760.97
981.45,760.83
981.55,760.64
981.64,760.57
981.74,759.75
981.84,759.51
981.93,759.2
982.03,758.75
982.13,758.13
982.22,758.18
982.32,757.6
982.41,756.93
982.51,756.49
982.61,756.1
982.7,755.51
982.8,755.36
982.9,755.01
982.99,753.53
983.09,752.41
983.19,751.75
983.28,751.04
983.38,750.62
983.48,751.29
983.57,751.74
983.67,752.08
983.77,751.69
983.86,750.34
983.96,749.17
984.06,749.15
984.16,749.4
984.25,750.33
984.35,751.87
984.45,753.07
984.54,753.11
984.64,752.68
984.74,751.89
984.83,751.01
984.93,751.2
985.03,751.48
985.13,751.77
985.22,752.19
985.32,752.82
985.42,752.59
985.51,752.21
985.61,751.85
985.71,751.06
985.8,749.15
985.9,747.71
986.0,746.52
986.1,745.47
986.19,745.06
986.29,745.93
986.39,745.94
986.48,746.05
986.58,746.1
986.68,745.65
986.78,744.34
986.88,743.45
986.97,743.33
987.07,743.11
987.17,743.45
987.26,744.63
987.36,745.55
987.46,745.97
987.56,746.31
987.65,746.01
987.75,745.03
987.85,744.09
987.95,744.32
988.04,745.0
988.14,746.19
988.24,747.9
988.34,749.35
988.43,748.39
988.53,745.41
988.63,741.61
988.73,737.93
988.83,735.5
988.92,734.14
989.02,734.39
989.12,735.29
989.22,736.18
989.32,736.0
989.41,735.02
989.51,732.11
989.61,730.92
989.71,731.04
989.8,732.08
989.9,733.76
990.0,737.31
990.1,738.92
990.2,739.02
990.29,738.45
990.39,737.72
990.49,736.49
990.59,737.14
990.69,738.57
990.79,739.65
990.88,739.27
990.98,740.01
991.08,739.04
991.18,737.62
991.28,736.88
991.38,737.77
991.47,738.18
991.57,738.57
991.67,739.01
991.77,738.74
991.87,737.63
991.97,737.98
992.06,738.59
992.16,739.38
992.26,740.51
992.36,742.37
992.46,742.76
992.56,742.85
992.65,742.24
992.75,740.9
992.85,739.82
992.95,738.83
993.05,737.92
993.15,737.87
993.25,738.38
993.34,738.71
993.44,738.98
993.54,739.26
993.64,738.88
993.74,738.38
993.84,738.56
993.94,738.57
994.04,738.45
994.14,738.9
994.23,739.44
994.33,739.38
994.43,739.1
994.53,738.86
994.63,738.19
994.73,737.16
994.83,736.42
994.93,735.81
995.03,735.45
995.12,735.36
995.22,735.57
995.32,735.45
995.42,735.31
995.52,735.05
995.62,734.83
995.72,734.24
995.82,734.22
995.92,734.41
996.02,734.6
996.11,734.63
996.21,735.14
996.31,735.05
996.41,735.06
996.51,734.82
996.61,734.72
996.71,734.48
996.81,734.72
996.91,734.78
997.01,734.92
997.11,735.02
997.21,735.07
997.31,734.65
997.41,734.29
997.51,734.07
997.61,733.8
997.71,733.85
997.8,733.8
997.9,733.38
998.0,733.13
998.1,732.91
998.2,731.92
998.3,731.43
998.4,731.23
998.5,731.03
998.6,730.73
998.7,731.17
998.8,731.06
998.9,730.16
999.0,729.67
999.1,729.21
999.2,728.31
999.3,727.67
999.4,728.06
999.5,727.96
999.6,727.73
999.7,727.59
999.8,727.34
999.9,726.47
1000.0,726.41
1000.1,726.53
1000.2,726.91
1000.3,727.66
1000.4,728.41
1000.5,728.63
1000.6,728.7
1000.7,728.78
1000.8,729.0
1000.9,729.11
1001.0,729.31
1001.1,729.52
1001.2,729.63
1001.3,729.52
1001.4,729.33
1001.5,729.15
1001.6,729.01
1001.7,728.82
1001.8,728.69
1001.9,728.57
1002.0,728.34
1002.1,727.7
1002.21,726.94
1002.3,726.1
1002.41,725.18
1002.51,724.23
1002.61,723.59
1002.71,722.75
1002.81,721.86
1002.91,720.98
1003.01,720.06
1003.11,719.0
1003.21,718.0
1003.31,717.06
1003.41,716.12
1003.51,715.22
1003.61,714.35
1003.71,713.68
1003.81,713.3
1003.91,712.88
1004.02,712.2
1004.12,711.21
1004.22,709.91
1004.32,707.95
1004.42,704.38
1004.52,698.71
1004.62,692.02
1004.72,685.08
1004.82,678.21
1004.92,672.83
1005.03,669.78
1005.13,668.26
1005.23,667.64
1005.33,667.35
1005.43,667.73
1005.53,669.97
1005.63,674.67
1005.73,680.64
1005.83,687.4
1005.93,694.12
1006.04,699.28
1006.14,702.32
1006.24,704.24
1006.34,705.63
1006.44,707.08
1006.54,708.82
1006.64,710.38
1006.74,711.69
1006.85,712.88
1006.95,713.79
1007.05,714.43
1007.15,715.11
1007.25,715.66
1007.35,716.08
1007.46,716.42
1007.56,716.74
1007.66,716.84
1007.76,716.94
1007.86,716.96
1007.96,716.69
1008.07,715.96
1008.17,715.13
1008.27,714.3
1008.37,713.66
1008.47,713.25
1008.57,713.13
1008.67,713.21
1008.78,713.33
1008.88,713.41
1008.98,713.48
1009.08,713.72
1009.18,714.15
1009.28,714.62
1009.39,714.94
1009.49,715.17
1009.59,715.25
1009.69,715.15
1009.79,715.04
1009.9,715.06
1010.0,714.96
1010.1,714.44
1010.2,713.73
1010.3,713.0
1010.41,712.34
1010.51,712.01
1010.61,712.05
1010.71,712.12
1010.82,712.04
1010.92,711.6
1011.02,710.93
1011.12,710.53
1011.22,710.65
1011.33,710.92
1011.43,711.42
1011.53,711.99
1011.63,712.15
1011.74,711.85
1011.84,711.44
1011.94,710.51
1012.04,709.54
1012.15,708.82
1012.25,708.15
1012.35,707.47
1012.45,707.32
1012.56,707.25
1012.66,706.99
1012.76,706.77
1012.86,706.61
1012.97,706.76
1013.07,707.52
1013.17,708.43
1013.27,709.18
1013.38,709.89
1013.48,710.38
1013.58,710.26
1013.68,710.02
1013.79,709.8
1013.89,709.4
1013.99,708.68
1014.1,706.88
1014.2,704.61
1014.3,702.6
1014.41,700.98
1014.51,699.55
1014.61,699.11
1014.71,699.12
1014.82,698.93
1014.92,698.55
1015.02,698.05
1015.13,697.89
1015.23,698.52
1015.33,699.26
1015.43,700.1
1015.54,701.15
1015.64,702.0
1015.74,702.05
1015.85,701.77
1015.95,700.49
1016.05,698.82
1016.16,697.28
1016.26,695.86
1016.36,694.86
1016.47,694.88
1016.57,695.25
1016.67,695.36
1016.78,695.32
1016.88,694.95
1016.98,695.01
1017.09,696.19
1017.19,697.62
1017.29,699.31
1017.4,701.49
1017.5,703.09
1017.6,703.52
1017.71,703.7
1017.81,703.52
1017.91,702.05
1018.02,699.79
1018.12,697.46
1018.23,694.93
1018.33,692.45
1018.43,690.95
1018.54,690.34
1018.64,689.88
1018.74,688.85
1018.85,686.81
1018.95,684.97
1019.06,684.2
1019.16,683.8
1019.26,684.34
1019.37,686.28
1019.47,687.9
1019.58,688.31
1019.68,688.25
1019.78,688.03
1019.89,688.21
1019.99,689.15
1020.1,690.43
1020.2,692.05
1020.3,693.7
1020.41,694.48
1020.51,694.61
1020.62,694.67
1020.72,694.35
1020.83,693.96
1020.93,694.11
1021.03,694.4
1021.14,693.65
1021.24,692.14
1021.35,690.1
1021.45,687.58
1021.55,685.23
1021.66,683.81
1021.76,683.42
1021.87,683.72
1021.97,684.15
1022.08,684.15
1022.18,684.42
1022.29,685.5
1022.39,687.21
1022.49,689.51
1022.6,692.15
1022.7,694.45
1022.81,695.82
1022.91,696.32
1023.02,696.16
1023.12,695.83
1023.23,695.59
1023.33,695.36
1023.44,695.03
1023.54,694.75
1023.65,694.51
1023.75,694.14
1023.86,693.77
1023.96,693.62
1024.07,693.36
1024.17,692.95
1024.28,692.58
1024.38,692.24
1024.48,692.02
1024.59,692.05
1024.69,692.19
1024.8,692.27
1024.91,692.29
1025.01,692.1
1025.11,691.96
1025.22,692.09
1025.33,692.25
1025.43,692.4
1025.54,692.67
1025.64,692.79
1025.75,692.61
1025.85,692.42
1025.96,692.2
1026.06,691.8
1026.17,691.28
1026.27,690.78
1026.38,690.35
1026.48,689.98
1026.59,689.7
1026.69,689.51
1026.8,689.33
1026.91,689.07
1027.01,688.82
1027.12,688.79
1027.22,688.99
1027.33,689.26
1027.43,689.53
1027.54,689.81
1027.64,689.97
1027.75,689.98
1027.85,689.91
1027.96,689.92
1028.07,690.04
1028.17,690.13
1028.28,690.08
1028.38,689.31
1028.49,687.58
1028.59,685.54
1028.7,683.57
1028.81,681.71
1028.91,680.6
1029.02,680.45
1029.12,680.51
1029.23,680.39
1029.34,679.99
1029.44,679.87
1029.55,680.53
1029.65,681.56
1029.76,682.52
1029.87,683.62
1029.97,684.46
1030.08,684.4
1030.18,683.83
1030.29,683.3
1030.4,682.8
1030.5,682.42
1030.61,682.23
1030.71,682.13
1030.82,682.05
1030.93,681.96
1031.03,681.78
1031.14,681.55
1031.25,681.31
1031.35,681.23
1031.46,681.39
1031.57,681.48
1031.67,681.39
1031.78,681.14
1031.89,681.12
1031.99,681.29
1032.1,681.46
1032.2,681.42
1032.31,680.62
1032.42,678.87
1032.52,676.5
1032.63,673.6
1032.74,671.03
1032.84,669.29
1032.95,668.23
1033.06,667.51
1033.17,667.23
1033.27,666.92
1033.38,667.48
1033.48,668.6
1033.59,669.76
1033.7,671.06
1033.81,672.63
1033.91,672.76
1034.02,671.58
1034.13,670.52
1034.23,669.37
1034.34,667.65
1034.45,666.27
1034.55,665.57
1034.66,665.16
1034.77,665.25
1034.88,665.34
1034.98,666.33
1035.09,668.24
1035.2,669.79
1035.3,670.87
1035.41,672.62
1035.52,674.1
1035.63,674.78
1035.73,675.29
1035.84,675.74
1035.95,675.89
1036.06,675.74
1036.16,675.57
1036.27,675.45
1036.38,675.44
1036.48,675.39
1036.59,674.86
1036.7,673.03
1036.81,670.22
1036.91,667.64
1037.02,665.29
1037.13,663.52
1037.24,663.02
1037.34,663.16
1037.45,662.45
1037.56,661.17
1037.67,659.82
1037.78,659.71
1037.88,660.99
1037.99,663.09
1038.1,665.53
1038.21,667.88
1038.31,668.86
1038.42,668.87
1038.53,669.2
1038.64,669.75
1038.74,670.22
1038.85,670.82
1038.96,671.25
1039.07,670.57
1039.18,668.8
1039.29,666.98
1039.39,665.19
1039.5,663.58
1039.61,662.67
1039.72,662.76
1039.82,663.08
1039.93,663.28
1040.04,663.03
1040.15,663.01
1040.26,663.47
1040.37,664.05
1040.47,664.89
1040.58,666.08
1040.69,666.94
1040.8,667.2
1040.91,667.37
1041.02,667.36
1041.13,667.3
1041.23,667.21
1041.34,667.36
1041.45,667.68
1041.56,668.04
1041.67,668.39
1041.78,668.64
1041.88,668.08
1041.99,666.82
1042.1,665.41
1042.21,663.59
1042.32,661.7
1042.43,660.58
1042.54,659.97
1042.64,659.44
1042.75,659.21
1042.86,659.11
1042.97,659.26
1043.08,659.54
1043.19,659.76
1043.3,660.71
1043.41,662.11
1043.52,663.04
1043.62,663.76
1043.73,664.5
1043.84,664.65
1043.95,664.5
1044.06,664.32
1044.17,664.37
1044.28,664.53
1044.39,664.31
1044.49,663.66
1044.6,663.15
1044.71,662.55
1044.82,661.89
1044.93,661.45
1045.04,660.69
1045.15,658.69
1045.26,656.36
1045.37,653.95
1045.48,651.51
1045.59,649.2
1045.7,647.98
1045.81,647.12
1045.92,646.39
1046.03,645.59
1046.14,646.05
1046.24,647.57
1046.35,649.29
1046.46,650.18
1046.57,650.95
1046.68,652.06
1046.79,652.63
1046.9,652.93
1047.01,654.01
1047.12,655.4
1047.23,655.7
1047.34,655.42
1047.45,654.73
1047.56,654.89
1047.67,655.91
1047.78,657.1
1047.89,658.34
1048.0,659.92
1048.11,660.44
1048.22,659.87
1048.33,659.32
1048.44,658.9
1048.55,658.51
1048.66,658.29
1048.77,658.31
1048.88,658.28
1048.99,658.16
1049.1,657.66
1049.21,657.11
1049.32,656.89
1049.43,656.61
1049.54,656.33
1049.65,656.28
1049.76,656.03
1049.87,655.43
1049.98,654.86
1050.09,654.18
1050.2,653.92
1050.31,654.2
1050.42,654.59
1050.53,654.86
1050.64,654.98
1050.75,654.91
1050.86,654.85
1050.97,654.83
1051.08,654.9
1051.19,655.22
1051.3,655.09
1051.41,654.27
1051.53,653.48
1051.64,652.77
1051.75,652.18
1051.86,652.04
1051.97,652.36
1052.08,652.52
1052.19,652.5
1052.3,652.29
1052.41,652.45
1052.52,652.69
1052.63,652.66
1052.74,652.35
1052.85,651.49
1052.96,650.34
1053.07,649.02
1053.19,647.86
1053.3,647.1
1053.41,646.99
1053.52,646.64
1053.63,646.49
1053.74,646.3
1053.85,646.81
1053.96,647.78
1054.07,648.77
1054.19,649.75
1054.3,651.0
1054.41,651.56
1054.52,651.61
1054.63,651.56
1054.74,651.54
1054.85,651.54
1054.96,651.51
1055.07,651.56
1055.19,651.64
1055.3,651.67
1055.41,651.54
1055.52,651.34
1055.63,651.2
1055.74,651.06
1055.85,650.88
1055.97,650.72
1056.08,650.48
1056.19,650.2
1056.3,649.99
1056.41,649.84
1056.52,649.78
1056.64,649.79
1056.75,649.85
1056.86,649.88
1056.97,649.85
1057.08,649.72
1057.19,649.51
1057.31,649.12
1057.42,648.78
1057.53,648.42
1057.64,647.94
1057.75,647.11
1057.86,646.01
1057.98,643.69
1058.09,639.0
1058.2,634.39
1058.31,630.77
1058.43,627.72
1058.54,625.89
1058.65,626.4
1058.76,627.02
1058.87,627.3
1058.98,626.96
1059.1,628.44
1059.21,631.85
1059.32,635.77
1059.43,639.63
1059.55,644.03
1059.66,646.46
1059.77,646.64
1059.88,644.93
1060.0,641.34
1060.11,637.84
1060.22,634.64
1060.33,631.84
1060.44,630.4
1060.56,630.62
1060.67,630.48
1060.78,629.52
1060.9,628.36
1061.01,628.91
1061.12,630.85
1061.23,633.13
1061.35,636.08
1061.46,639.28
1061.57,640.7
1061.68,640.72
1061.8,640.98
1061.91,641.41
1062.02,641.79
1062.14,641.96
1062.25,641.57
1062.36,639.6
1062.47,637.88
1062.59,636.29
1062.7,634.84
1062.81,633.88
1062.93,633.96
1063.04,633.61
1063.15,632.98
1063.26,631.94
1063.38,632.51
1063.49,634.15
1063.6,635.81
1063.72,637.59
1063.83,639.88
1063.94,640.94
1064.06,641.26
1064.17,641.48
1064.28,641.66
1064.4,641.74
1064.51,641.57
1064.62,641.27
1064.74,641.04
1064.85,640.83
1064.96,640.69
1065.08,640.53
1065.19,640.32
1065.3,639.99
1065.42,639.6
1065.53,638.63
1065.64,636.2
1065.76,632.48
1065.87,629.43
1065.98,626.6
1066.1,624.31
1066.21,623.36
1066.32,623.62
1066.44,623.34
1066.55,622.72
1066.67,622.31
1066.78,623.86
1066.89,626.53
1067.01,629.29
1067.12,632.22
1067.24,634.96
1067.35,636.04
1067.46,636.28
1067.58,636.28
1067.69,636.0
1067.81,634.98
1067.92,632.17
1068.03,629.09
1068.15,624.92
1068.26,621.39
1068.38,618.61
1068.49,616.62
1068.6,612.48
1068.72,607.83
1068.83,602.92
1068.95,599.08
1069.06,595.22
1069.18,595.55
1069.29,598.31
1069.4,601.03
1069.52,602.19
1069.63,604.95
1069.75,608.34
1069.86,612.02
1069.98,615.47
1070.09,620.8
1070.2,625.53
1070.32,626.66
1070.44,627.17
1070.55,628.02
1070.66,627.49
1070.78,626.81
1070.89,627.25
1071.01,627.34
1071.12,627.16
1071.24,626.25
1071.35,625.94
1071.47,626.43
1071.58,626.94
1071.7,627.59
1071.81,628.97
1071.93,629.84
1072.04,629.72
1072.16,628.85
1072.27,626.73
1072.39,623.65
1072.5,620.33
1072.62,617.07
1072.73,614.61
1072.85,613.27
1072.96,612.89
1073.08,612.52
1073.19,612.32
1073.31,612.08
1073.42,613.32
1073.54,615.72
1073.65,619.03
1073.77,622.3
1073.88,625.7
1074.0,627.62
1074.11,627.76
1074.23,627.1
1074.34,626.27
1074.46,624.03
1074.58,619.97
1074.69,617.13
1074.81,614.44
1074.92,611.21
1075.04,608.89
1075.15,609.22
1075.27,609.39
1075.39,609.3
1075.5,609.63
1075.62,612.4
1075.73,615.29
1075.85,617.56
1075.96,620.54
1076.08,624.39
1076.19,625.79
1076.31,626.2
1076.43,626.49
1076.54,626.21
1076.66,625.4
1076.77,624.87
1076.89,624.52
1077.01,624.39
1077.12,624.04
1077.24,623.95
1077.35,624.09
1077.47,624.57
1077.59,625.27
1077.7,625.94
1077.82,625.8
1077.94,624.46
1078.05,622.19
1078.17,619.18
1078.28,614.39
1078.4,610.77
1078.52,608.33
1078.63,606.36
1078.75,605.06
1078.86,605.78
1078.98,606.4
1079.1,607.51
1079.21,608.07
1079.33,610.84
1079.45,614.39
1079.56,617.42
1079.68,619.72
1079.8,622.51
1079.91,622.82
1080.03,622.4
1080.15,621.83
1080.26,621.58
1080.38,621.31
1080.5,620.7
1080.61,618.81
1080.73,614.39
1080.85,610.49
1080.96,607.22
1081.08,604.63
1081.2,603.2
1081.31,603.87
1081.43,602.99
1081.55,601.38
1081.67,597.87
1081.78,597.35
1081.9,598.66
1082.02,600.88
1082.13,602.34
1082.25,602.67
1082.37,599.14
1082.48,595.24
1082.6,590.81
1082.72,588.61
1082.84,590.14
1082.95,592.66
1083.07,593.5
1083.19,594.18
1083.31,595.3
1083.42,597.85
1083.54,601.07
1083.66,605.53
1083.78,610.71
1083.89,613.58
1084.01,612.76
1084.13,612.36
1084.25,611.71
1084.36,610.91
1084.48,610.7
1084.6,612.08
1084.72,612.41
1084.83,612.28
1084.95,611.78
1085.07,612.64
1085.19,613.84
1085.31,615.11
1085.42,616.5
1085.54,618.24
1085.66,618.54
1085.78,617.91
1085.89,616.16
1086.01,614.62
1086.13,613.23
1086.25,611.71
1086.37,609.28
1086.48,604.22
1086.6,598.1
1086.72,592.43
1086.84,586.71
1086.96,583.41
1087.07,584.3
1087.19,586.1
1087.31,587.06
1087.43,587.16
1087.55,588.63
1087.67,592.34
1087.78,596.25
1087.9,599.89
1088.02,603.83
1088.14,604.1
1088.26,602.14
1088.38,600.02
1088.49,598.49
1088.61,597.61
1088.73,597.31
1088.85,596.67
1088.97,596.23
1089.09,595.73
1089.21,596.42
1089.32,598.52
1089.44,600.66
1089.56,602.5
1089.68,604.31
1089.8,605.53
1089.92,606.04
1090.04,606.21
1090.16,606.04
1090.28,606.93
1090.39,607.69
1090.51,608.33
1090.63,609.17
1090.75,610.27
1090.87,610.18
1090.99,608.84
1091.11,606.22
1091.23,604.42
1091.35,602.81
1091.46,601.18
1091.58,600.46
1091.7,600.97
1091.82,600.54
1091.94,599.62
1092.06,598.69
1092.18,598.56
1092.3,598.68
1092.42,598.5
1092.54,598.47
1092.66,598.44
1092.78,597.15
1092.9,595.14
1093.02,592.63
1093.14,589.0
1093.26,583.88
1093.37,576.57
1093.49,569.04
1093.61,562.21
1093.73,556.58
1093.85,552.76
1093.97,551.5
1094.09,551.25
1094.21,551.28
1094.33,551.8
1094.45,554.77
1094.57,560.01
1094.69,566.32
1094.81,572.67
1094.93,578.26
1095.05,582.16
1095.17,583.87
1095.29,582.9
1095.41,582.64
1095.53,583.29
1095.65,583.29
1095.77,582.82
1095.89,583.68
1096.01,583.92
1096.13,581.95
1096.25,579.54
1096.37,579.23
1096.49,579.54
1096.61,579.1
1096.73,580.35
1096.85,581.82
1096.97,581.26
1097.09,580.18
1097.21,581.54
1097.33,583.24
1097.45,583.53
1097.57,583.24
1097.69,583.45
1097.81,580.56
1097.94,577.54
1098.06,575.52
1098.18,574.73
1098.3,572.93
1098.42,571.96
1098.54,571.9
1098.66,573.42
1098.78,575.08
1098.9,578.58
1099.02,582.34
1099.14,585.83
1099.26,588.08
1099.38,590.3
1099.51,591.39
1099.63,592.25
1099.75,592.5
1099.87,592.45
1099.99,592.11
1100.11,591.23
1100.23,590.77
1100.35,590.29
1100.47,590.47
1100.59,590.42
1100.72,590.65
1100.84,590.17
1100.96,589.08
1101.08,587.49
1101.2,585.97
1101.32,582.71
1101.44,579.96
1101.56,577.59
1101.69,575.35
1101.81,572.95
1101.93,572.27
1102.05,572.7
1102.17,573.67
1102.29,574.07
